Target,df,drfold,rf,rhofold,rnac,trr,3drna
pz1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pz10,0.9,0.94,0.9,0.94,0.5,0.74,0.67
pz11,0.92,0.95,0.92,1.0,0.78,0.8,0.97
pz12,0.97,0.93,0.85,0.96,0.47,0.96,0.8
pz13,1.0,1.0,1.0,1.0,0.96,0.95,0.95
pz14,1.0,1.0,0.97,1.0,1.0,0.82,0.9
pz15,0.91,0.91,1.0,0.91,0.72,0.58,0.72
pz16,1.0,1.0,1.0,1.0,1.0,0.63,0.8
pz17,1.0,0.96,0.82,0.91,0.46,0.76,0.48
pz18,0.8,0.93,0.98,0.83,0.71,0.86,0.53
pz19,0.72,0.8,0.63,0.76,0.63,0.72,0.71
pz2,0.0,0.0,x,0.0,0.0,0.0,0.0
pz20,0.93,0.91,0.58,0.77,0.96,0.78,0.54
pz21,0.96,0.96,1.0,0.91,0.61,0.71,0.55
pz22,0.93,0.94,0.85,0.88,0.87,0.91,0.89
pz23,0.93,0.93,1.0,0.93,0.86,0.93,0.0
pz24,0.96,0.91,0.98,0.75,0.95,0.86,0.91
pz25,0.95,0.95,1.0,0.51,0.92,0.72,0.89
pz26,0.0,0.95,0.91,0.91,0.97,0.87,0.94
pz27,0.95,0.66,0.64,0.49,0.15,0.88,0.8
pz28,1.0,0.96,1.0,0.89,0.84,0.8,0.81
pz29,0.94,0.94,1.0,0.94,0.57,0.85,0.85
pz3,1.0,0.96,0.96,0.89,0.96,0.89,0.91
pz30,0.92,0.7,0.48,0.57,0.94,0.75,0.88
pz31,1.0,1.0,0.72,1.0,0.87,0.89,0.89
pz32,0.97,0.96,0.89,1.0,1.0,0.89,0.89
pz33,0.89,0.89,0.84,0.85,0.96,0.8,0.84
pz34,0.95,0.95,0.92,0.95,0.95,0.84,0.89
pz37,0.78,0.62,0.78,0.56,0.79,0.68,0.0
pz38,0.79,0.5,0.59,0.74,0.67,0.0,0.31
pz4,0.94,0.95,0.99,0.93,0.86,0.93,0.85
pz5,0.96,0.96,0.98,0.93,0.48,0.91,0.36
pz6,0.84,0.84,1.0,1.0,0.63,0.84,0.31
pz7,0.94,0.98,0.96,0.94,0.96,0.78,0.94
pz8,0.93,0.97,1.0,0.97,0.91,0.86,0.74
pz9,0.89,0.92,1.0,0.92,0.8,0.84,0.81
