Target,df,drfold,rf,rhofold,rnac,trr,3drna
pz1,0.85,0.85,0.64,0.62,0.49,0.84,0.59
pz10,0.82,0.82,0.91,0.86,0.59,0.82,0.67
pz11,0.74,0.78,0.74,0.78,0.66,0.76,0.75
pz12,0.85,0.85,0.84,0.86,0.48,0.88,0.66
pz13,0.93,0.89,0.97,0.9,0.84,0.86,0.84
pz14,0.86,0.84,0.85,0.83,0.79,0.8,0.82
pz15,0.88,0.84,0.96,0.9,0.61,0.81,0.61
pz16,0.89,0.86,0.96,0.95,0.93,0.8,0.64
pz17,0.81,0.78,0.76,0.82,0.57,0.76,0.56
pz18,0.83,0.88,0.97,0.8,0.65,0.87,0.55
pz19,0.77,0.76,0.75,0.76,0.64,0.75,0.62
pz2,0.9,0.95,x,0.91,0.63,0.91,0.67
pz20,0.78,0.84,0.68,0.82,0.77,0.86,0.66
pz21,0.8,0.79,0.95,0.73,0.57,0.76,0.53
pz22,0.8,0.84,0.87,0.77,0.76,0.78,0.75
pz23,0.63,0.65,0.9,0.71,0.56,0.76,0.29
pz24,0.88,0.82,0.93,0.77,0.83,0.84,0.84
pz25,0.84,0.82,0.95,0.62,0.78,0.74,0.73
pz26,0.35,0.84,0.86,0.8,0.81,0.76,0.81
pz27,0.76,0.56,0.59,0.52,0.35,0.69,0.62
pz28,0.84,0.86,0.95,0.79,0.76,0.79,0.74
pz29,0.9,0.88,0.95,0.87,0.63,0.85,0.75
pz3,0.8,0.85,0.88,0.84,0.72,0.84,0.69
pz30,0.79,0.66,0.57,0.66,0.75,0.61,0.71
pz31,0.9,0.86,0.71,0.89,0.73,0.85,0.78
pz32,0.83,0.78,0.75,0.88,0.8,0.74,0.77
pz33,0.84,0.78,0.8,0.79,0.82,0.79,0.78
pz34,0.77,0.79,0.76,0.86,0.79,0.72,0.7
pz37,0.6,0.46,0.64,0.53,0.64,0.56,0.42
pz38,0.6,0.44,0.55,0.58,0.56,0.43,0.51
pz4,0.87,0.9,0.94,0.86,0.76,0.9,0.83
pz5,0.85,0.88,0.86,0.84,0.64,0.83,0.6
pz6,0.81,0.82,0.9,0.83,0.71,0.77,0.57
pz7,0.86,0.86,0.89,0.84,0.8,0.79,0.78
pz8,0.82,0.91,0.96,0.84,0.74,0.8,0.73
pz9,0.74,0.79,0.96,0.78,0.64,0.83,0.63
