Target,df,drfold,rf,rhofold, rnac, trr, 3drna
8ane_r,NA,0.6,0.0,0.5333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333
8d1v_j,NA,0.13333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.0,0.13333333333333333
8d29_r,NA,0.868421052631579,0.7631578947368421,0.8157894736842105,0.7894736842105263,0.868421052631579,0.868421052631579
8d4a_b,NA,0.7027027027027027,0.8108108108108109,0.7027027027027027,0.5405405405405406,0.8378378378378378,0.35135135135135137
8do6_j,NA,0.0,0.0,0.0,0.0,0.0,0.0
8e0f_d,NA,0.0,0.0,0.0,0.0,0.0,0.0
8ewg_b,NA,0.375,0.08928571428571429,0.4107142857142857,0.30357142857142855,0.39285714285714285,0.32142857142857145
8f0n_b,NA,0.6633663366336634,0.22772277227722773,0.4158415841584158,0.4158415841584158,0.7029702970297029,0.39603960396039606
8ff5_m,NA,0.17647058823529413,0.08823529411764706,0.20588235294117646,0.08823529411764706,0.3235294117647059,0.11764705882352941
8ffy_c,NA,0.5058823529411764,0.3176470588235294,0.6235294117647059,0.2,0.7764705882352941,0.2
8gkh_w,NA,0.1095890410958904,0.2191780821917808,0.273972602739726,0.6575342465753424,0.0273972602739726,0.6438356164383562
8gxb_b,NA,0.26548672566371684,0.25663716814159293,0.3805309734513274,0.2743362831858407,0.7168141592920354,0.008849557522123894
8h7q_d,NA,0.5,0.0,0.0,0.3,0.1,0.2
8hb8_a,NA,0.4690265486725664,0.168141592920354,0.46017699115044247,0.24778761061946902,0.7433628318584071,0.11504424778761062
8hud_b,NA,0.7777777777777778,0.6349206349206349,0.8412698412698413,0.8253968253968254,0.7936507936507936,0.6031746031746031
8ibw_d,NA,0.23404255319148937,0.5957446808510638,0.3404255319148936,0.5531914893617021,0.48936170212765956,0.5531914893617021
8j1q_e,NA,0.11666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667
8sqj_p,NA,0.0,0.0,0.0,0.0,0.0,0.0
8sqj_t,NA,0.0,0.0,0.0,0.0,0.0,0.0
8upt_a,NA,0.7758620689655172,0.5,0.7327586206896551,0.33620689655172414,0.7155172413793104,0.5775862068965517
