Target,df,rf,rhofold,trr
7qr4,493,118,137,122
7qsh,1293,17,50008,1033
7u0y,21,4,4,2
7ur5,18311,4,3,15000
7uri,18677,3,3,15000
7wi9,49,39,22,2
7wju,23,1,2,4
7xd3,4394,25,645,4691
7xjz,12039,4024,67736,15000
7yoj,22,1,2,2
7yr6,691,257,619,249
7zj5,34,1,7,2
8bf8,24,7,38,2
8bgu,35042,611,13687,15000
8d9l,21922,5620,112154,15000
8dp3,1236,643,5050,8
8ex9,24,7,38,1
8eyu,9,21,1,2
8f4o,4630,1027,9249,5727
8fcs,285,178,432,231
8fzr,18602,5871,84605,325
8gxb,4,9,12,2
8h1j,3,7,41,2
8sxl,1,1,1,2
pz1,3,2,NA,1
pz10,283,6,6,2
pz11,5322,5236,8688,4
pz12,3634,137,231,5
pz13,1335,250,89,3
pz14,872,2,6,3
pz15,2828,76,29,3
pz16,981,22,4,1
pz17,368,5,2,2
pz18,471,41,867,2
pz19,NA,13,16,3
pz2,1,1,NA,2
pz20,90,85,136,2
pz21,95,113,103,3
pz22,111,42,102,12
pz23,4,7,3,2
pz24,27,10,350,36
pz25,2484,8,5,4
pz26,2245,112,52,2
pz27,2440,99,542,5
pz28,45,868,1138,4
pz29,149,13,22,4
pz3,4907,628,771,40
pz30,204,97,271,82
pz31,49,11,50004,4
pz32,3,13,5,3
pz33,206,33,15,2
pz34,3,2,3,2
pz37,4,9,12,2
pz38,15,12,60,1
pz4,4168,27,10444,268
pz5,6,1,12,6
pz6,9035,976,5015,NA
pz7,3,3,7,4
pz8,579,6,18,NA
pz9,1401,14,3,NA
r1107,493,118,137,122
r1108,732,129,152,229
r1126,2,1,1,2
r1128,16,1,2,2
r1136,34,1,7,2
r1138,1,1,2,2
r1189,691,257,619,249
r1190,691,257,618,249
