Target,drfold,rf,rhofold,rnac,trr,3drna,Average
8ane,0,0,0,0,0,0,0
8d1v,0,0,0,0,0,0,0
8d29,0.5,0.71,0.71,0.29,1,0.82,0.671666667
8d4a,0.58,0,0,0,0,0,0.096666667
8do6,0,0,0,0,0,0,0
8e0f,0,0,0,0,0,0,0
8ewg,0,0,0,0,0,0,0
8f0n,0.18,0,0,0.25,0.61,0,0.173333333
8ff5,0,0,0,0,0,0,0
8ffy,0.71,0.46,0.73,0.55,0.67,0.43,0.591666667
8gkh,0,0.5,0.29,0.76,0,0.67,0.37
8gxb,0,0.24,0.24,0.28,0.48,0,0.206666667
8h7q,0,0,0,0,0,0,0
8hb8,0,0.16,0.2,0.39,0.2,0,0.158333333
8hud,0.71,0.75,0.71,0.29,0.58,0,0.506666667
8ibw,0,0.71,0,0,0,0,0.118333333
8j1q,0,0,0,0,0,0,0
8sqj,0,0,0,0,0,0,0
8sqj,0,0,0,0,0,0,0
8upt,0.45,0.45,0.5,0,0.41,0.2,0.335
